Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
30,5024,3320
40,4850,4998
50,4356,2426
60,4355,2706
70,4355,2810
80,4354,2307
90,4354,2326
91,4354,2477
39,4035,2487
84,3667,1953
98,2692,1403
36,2692,1418
5,2692,1695
47,2692,4822
87,2691,1348
45,2691,1436
93,2691,1436
61,2691,1488
65,2691,1530
78,2691,1603
74,2690,1432
66,2690,1491
55,2690,1553
86,2690,1577
53,2690,1583
94,2202,1046
88,2202,1210
48,2201,1163
99,2200,1147
95,2200,1329
7,2197,1200
63,2197,1332
56,2196,1390
41,2185,1313
75,1826,1111
49,1776,958
4,1769,989
76,1768,940
42,525,264
29,517,312
3,512,286
79,510,282
15,502,281
25,501,281
12,495,279
17,492,281
16,470,268
35,458,243
11,455,263
57,441,260
89,440,222
85,439,222
44,436,219
43,435,219
72,428,233
1,423,226
37,418,212
52,418,228
21,405,262
14,399,245
46,396,207
58,396,215
6,394,223
92,394,223
31,393,207
32,393,207
96,393,207
59,393,211
68,393,221
26,393,229
64,393,229
33,392,207
34,392,207
82,392,207
54,392,215
51,392,221
73,392,221
19,392,237
97,391,203
83,391,205
38,391,207
71,391,221
18,391,223
28,391,229
8,391,233
2,391,235
81,390,203
9,390,217
67,390,217
69,390,219
77,390,221
13,390,223
62,390,223
27,390,229
22,389,229
24,389,231
23,388,237
