Run Number, Maximum X, Frame Reached
0,16,0
1,17,70
2,16,0
3,16,0
4,21,627
5,16,0
6,16,0
7,16,0
8,16,0
9,23,198
10,17,94
11,16,0
12,16,0
13,16,0
14,16,0
15,17,83
16,16,0
17,16,0
18,16,0
19,16,0
20,17,73
21,16,0
22,16,0
23,19,1652
24,16,0
25,17,1099
26,16,0
27,16,0
28,16,0
29,16,0
30,24,191
31,16,0
32,18,70
33,16,0
34,16,0
35,16,0
36,16,0
37,18,76
38,16,0
39,17,70
40,17,80
41,16,0
42,16,0
43,18,498
44,16,0
45,16,0
46,16,0
47,16,0
48,18,1105
49,16,0
50,16,0
51,19,731
52,16,0
53,17,450
54,16,0
55,16,0
56,16,0
57,16,0
58,16,0
59,16,0
60,16,0
61,16,0
62,16,0
63,16,0
64,16,0
65,16,0
66,16,0
67,16,0
68,16,0
69,17,1716
70,16,0
71,16,0
72,21,88
73,16,0
74,16,0
75,16,0
76,16,0
77,17,1381
78,16,0
79,16,0
80,16,0
81,16,0
82,16,0
83,16,0
84,16,0
85,16,0
86,16,0
87,16,0
88,16,0
89,16,0
90,16,0
91,16,0
92,16,0
93,16,0
94,16,0
95,16,0
96,16,0
97,16,0
98,16,0
99,17,77
